"거래일자","품목명","반입량(KG)","품목코드","전월반입량(KG)","전월반입량증감률(%)","전년반입량(KG)","전년반입량증감률(%)","평년반입량(KG)","평년반입량증감률(%)"
"20240607","상추","88000","100500","110000","25.0","75000","-14.8","86750","-1.4"
"20240606","상추","88000","100500","122000","38.6","83000","-5.7","93250","6.0"
"20240605","상추","98000","100500","null","0.0","109000","11.2","92500","-5.6"
"20240604","상추","97000","100500","137000","41.2","null","0.0","88250","-9.0"
"20240603","상추","116000","100500","126000","8.6","100000","-13.8","96600","-16.7"
"20240601","상추","90000","100500","65000","-27.8","82000","-8.9","91000","1.1"
"20240531","상추","95000","100500","99000","4.2","84000","-11.6","88000","-7.4"
"20240530","상추","92000","100500","99000","7.6","83000","-9.8","93250","1.4"
"20240529","상추","99000","100500","122000","23.2","92000","-7.1","89500","-9.6"
"20240528","상추","93000","100500","null","0.0","null","0.0","83250","-10.5"
"20240527","상추","108000","100500","115000","6.5","112000","3.7","100600","-6.9"
"20240525","상추","96000","100500","102000","6.3","102000","6.3","101200","5.4"
"20240524","상추","108000","100500","115000","6.5","108000","0.0","108667","0.6"
"20240523","상추","111000","100500","119000","7.2","124000","11.7","107000","-3.6"
"20240522","상추","110000","100500","136000","23.6","135000","22.7","101500","-7.7"
"20240521","상추","106000","100500","null","0.0","null","0.0","91000","-14.2"
"20240520","상추","125000","100500","113000","-9.6","108000","-13.6","100400","-19.7"
"20240518","상추","113000","100500","121000","7.1","105000","-7.1","101400","-10.3"
"20240517","상추","95000","100500","130000","36.8","113000","18.9","104000","9.5"
"20240516","상추","96000","100500","111000","15.6","109000","13.5","108000","12.5"
"20240515","상추","98000","100500","130000","32.7","115000","17.3","105500","7.7"
"20240514","상추","111000","100500","null","0.0","null","0.0","99750","-10.1"
"20240513","상추","126000","100500","92000","-27.0","108000","-14.3","103800","-17.6"
"20240511","상추","112000","100500","113000","0.9","94000","-16.1","103800","-7.3"
"20240510","상추","113000","100500","106000","-6.2","96000","-15.0","104250","-7.7"
"20240509","상추","112000","100500","110000","-1.8","100000","-10.7","104250","-6.9"
"20240508","상추","105000","100500","131000","24.8","148000","41.0","110000","4.8"
"20240507","상추","110000","100500","null","0.0","null","0.0","105750","-3.9"
"20240506","상추","122000","100500","76000","-37.7","125000","2.5","112400","-7.9"
"20240504","상추","137000","100500","110000","-19.7","97000","-29.2","109800","-19.9"
"20240503","상추","126000","100500","103000","-18.3","93000","-26.2","102250","-18.8"
"20240502","상추","122000","100500","103000","-15.6","105000","-13.9","113750","-6.8"
"20240501","상추","65000","100500","122000","87.7","121000","86.2","110250","69.6"
"20240430","상추","99000","100500","123000","24.2","null","0.0","105000","6.1"
"20240429","상추","122000","100500","115000","-5.7","107000","-12.3","103800","-14.9"
"20240427","상추","115000","100500","121000","5.2","103000","-10.4","108800","-5.4"
"20240426","상추","103000","100500","113000","9.7","100000","-2.9","109000","5.8"
"20240425","상추","102000","100500","126000","23.5","106000","3.9","110750","8.6"
"20240424","상추","115000","100500","null","0.0","127000","10.4","110000","-4.3"
"20240423","상추","119000","100500","111000","-6.7","null","0.0","105500","-11.3"
"20240422","상추","136000","100500","107000","-21.3","118000","-13.2","109200","-19.7"
"20240420","상추","113000","100500","107000","-5.3","112000","-0.9","118200","4.6"
"20240419","상추","113000","100500","105000","-7.1","104000","-8.0","107750","-4.6"
"20240418","상추","121000","100500","121000","0.0","110000","-9.1","110333","-8.8"
"20240417","상추","130000","100500","null","0.0","125000","-3.8","108250","-16.7"
"20240416","상추","111000","100500","104000","-6.3","null","0.0","104500","-5.9"
"20240415","상추","130000","100500","107000","-17.7","112000","-13.8","108400","-16.6"
"20240413","상추","92000","100500","99000","7.6","98000","6.5","106800","16.1"
"20240412","상추","127000","100500","92000","-27.6","100000","-21.3","112000","-11.8"
"20240411","상추","113000","100500","106000","-6.2","102000","-9.7","107750","-4.6"
"20240410","상추","106000","100500","null","0.0","117000","10.4","110250","4.0"
"20240409","상추","110000","100500","101000","-8.2","null","0.0","107500","-2.3"
"20240408","상추","131000","100500","101000","-22.9","121000","-7.6","106200","-18.9"
"20240406","상추","76000","100500","96000","26.3","109000","43.4","104600","37.6"
"20240405","상추","125000","100500","99000","-20.8","114000","-8.8","106250","-15.0"
"20240404","상추","110000","100500","137000","24.5","110000","0.0","107750","-2.0"
"20240403","상추","103000","100500","null","0.0","115000","11.7","103750","0.7"
"20240402","상추","103000","100500","1000","-99.0","null","0.0","101000","-1.9"
"20240401","상추","122000","100500","125000","2.5","109000","-10.7","102400","-16.1"
"20240330","상추","123000","100500","105000","-14.6","102000","-17.1","108800","-11.5"
"20240329","상추","115000","100500","105000","-8.7","104000","-9.6","103000","-10.4"
"20240328","상추","116000","100500","91000","-21.6","107000","-7.8","105250","-9.3"
"20240327","상추","121000","100500","88000","-27.3","127000","5.0","106750","-11.8"
"20240326","상추","113000","100500","83000","-26.5","null","0.0","97250","-13.9"
"20240325","상추","126000","100500","null","0.0","113000","-10.3","99400","-21.1"
"20240323","상추","111000","100500","79000","-28.8","87000","-21.6","97600","-12.1"
"20240322","상추","107000","100500","80000","-25.2","89000","-16.8","101250","-5.4"
"20240321","상추","106000","100500","89000","-16.0","92000","-13.2","101250","-4.5"
"20240320","상추","107000","100500","92000","-14.0","111000","3.7","99500","-7.0"
"20240319","상추","105000","100500","120000","14.3","null","0.0","96250","-8.3"
"20240318","상추","121000","100500","null","0.0","102000","-15.7","93200","-23.0"
"20240316","상추","104000","100500","98000","-5.8","99000","-4.8","101600","-2.3"
"20240315","상추","107000","100500","83000","-22.4","99000","-7.5","105500","-1.4"
"20240314","상추","105000","100500","52000","-50.5","101000","-3.8","105000","0.0"
"20240313","상추","99000","100500","80000","-19.2","118000","19.2","104250","5.3"
"20240312","상추","92000","100500","null","0.0","null","0.0","97750","6.3"
"20240311","상추","106000","100500","null","0.0","106000","0.0","96500","-9.0"
"20240309","상추","101000","100500","80000","-20.8","89000","-11.9","98200","-2.8"
"20240308","상추","101000","100500","113000","11.9","91000","-9.9","102000","1.0"
"20240307","상추","100000","100500","97000","-3.0","83000","-17.0","101000","1.0"
"20240306","상추","96000","100500","91000","-5.2","103000","7.3","93000","-3.1"
"20240305","상추","99000","100500","120000","21.2","null","0.0","92500","-6.6"
"20240304","상추","137000","100500","null","0.0","98000","-28.5","96000","-29.9"
"20240302","상추","1000","100500","89000","8800.0","81000","8000.0","96800","9580.0"
"20240301","상추","125000","100500","86000","-31.2","73000","-41.6","78000","-37.6"
"20240229","상추","105000","100500","84000","-20.0","72000","-31.4","91000","-13.3"
"20240228","상추","91000","100500","null","0.0","72000","-20.9","89000","-2.2"
"20240227","상추","88000","100500","69000","-21.6","90000","2.3","89750","2.0"
"20240226","상추","83000","100500","66000","-20.5","null","0.0","84500","1.8"
"20240224","상추","82000","100500","72000","-12.2","72000","-12.2","80250","-2.1"
"20240223","상추","79000","100500","78000","-1.3","72000","-8.9","78750","-0.3"
"20240222","상추","80000","100500","84000","5.0","74000","-7.5","83200","4.0"
"20240221","상추","89000","100500","null","0.0","80000","-10.1","87750","-1.4"
"20240220","상추","92000","100500","82000","-10.9","86000","-6.5","80000","-13.0"
"20240219","상추","120000","100500","80000","-33.3","null","0.0","78500","-34.6"
"20240217","상추","66000","100500","76000","15.2","73000","10.6","82000","24.2"
"20240216","상추","98000","100500","72000","-26.5","71000","-27.6","79000","-19.4"
"20240215","상추","83000","100500","70000","-15.7","72000","-13.3","79200","-4.6"
"20240214","상추","52000","100500","null","0.0","74000","42.3","80000","53.8"
"20240213","상추","80000","100500","78000","-2.5","90000","12.5","81667","2.1"
"20240209","상추","80000","100500","76000","-5.0","72000","-10.0","83000","3.8"
"20240208","상추","113000","100500","89000","-21.2","68000","-39.8","88800","-21.4"
"20240207","상추","97000","100500","null","0.0","63000","-35.1","87667","-9.6"
"20240206","상추","91000","100500","89000","-2.2","74000","-18.7","75333","-17.2"
"20240205","상추","120000","100500","83000","-30.8","null","0.0","77000","-35.8"
"20240203","상추","101000","100500","116000","14.9","62000","-38.6","75333","-25.4"
"20240202","상추","89000","100500","null","0.0","61000","-31.5","82000","-7.9"
"20240201","상추","86000","100500","null","0.0","62000","-27.9","83750","-2.6"
"20240131","상추","82000","100500","null","0.0","62000","-24.4","78333","-4.5"
"20240130","상추","81000","100500","109000","34.6","87000","7.4","79750","-1.5"
"20240129","상추","84000","100500","105000","25.0","null","0.0","80500","-4.2"
"20240127","상추","69000","100500","84000","21.7","56000","-18.8","73333","6.3"
"20240126","상추","66000","100500","69000","4.5","50000","-24.2","75250","14.0"
"20240125","상추","60000","100500","77000","28.3","57000","-5.0","75250","25.4"
"20240124","상추","72000","100500","null","0.0","null","0.0","86667","20.4"
"20240123","상추","78000","100500","77000","-1.3","null","0.0","84000","7.7"
"20240122","상추","84000","100500","79000","-6.0","null","0.0","79250","-5.7"
"20240120","상추","82000","100500","73000","-11.0","86000","4.9","81750","-0.3"
"20240119","상추","80000","100500","74000","-7.5","80000","0.0","79000","-1.3"
"20240118","상추","75000","100500","94000","25.3","79000","5.3","81200","8.3"
"20240117","상추","76000","100500","null","0.0","81000","6.6","79000","3.9"
"20240116","상추","72000","100500","89000","23.6","105000","45.8","81250","12.8"
"20240115","상추","70000","100500","82000","17.1","null","0.0","73750","5.4"
"20240113","상추","78000","100500","88000","12.8","68000","-12.8","70000","-10.3"
"20240112","상추","78000","100500","82000","5.1","63000","-19.2","68750","-11.9"
"20240111","상추","77000","100500","86000","11.7","65000","-15.6","63000","-18.2"
"20240110","상추","76000","100500","null","0.0","67000","-11.8","74000","-2.6"
"20240109","상추","76000","100500","85000","11.8","84000","10.5","70000","-7.9"
"20240108","상추","89000","100500","87000","-2.2","null","0.0","75000","-15.7"
"20240106","상추","89000","100500","81000","-9.0","74000","-16.9","78750","-11.5"
"20240105","상추","83000","100500","77000","-7.2","72000","-13.3","78500","-5.4"
"20240104","상추","86000","100500","80000","-7.0","73000","-15.1","81400","-5.3"
"20240103","상추","116000","100500","null","0.0","75000","-35.3","88500","-23.7"
"20231230","상추","109000","100500","80000","-26.6","78000","-28.4","91250","-16.3"
"20231229","상추","105000","100500","85000","-19.0","74000","-29.5","78500","-25.2"
"20231228","상추","94000","100500","84000","-10.6","71000","-24.5","78800","-16.2"
"20231227","상추","84000","100500","88000","4.8","60000","-28.6","70000","-16.7"
"20231226","상추","69000","100500","null","0.0","62000","-10.1","69250","0.4"
"20231225","상추","77000","100500","84000","9.1","null","0.0","77250","0.3"
"20231223","상추","77000","100500","73000","-5.2","77000","0.0","80750","4.9"
"20231222","상추","79000","100500","68000","-13.9","69000","-12.7","77000","-2.5"
"20231221","상추","75000","100500","66000","-12.0","67000","-10.7","79200","5.6"
"20231220","상추","73000","100500","75000","2.7","59000","-19.2","73500","0.7"
"20231219","상추","74000","100500","null","0.0","72000","-2.7","71750","-3.0"
"20231218","상추","94000","100500","74000","-21.3","null","0.0","69250","-26.3"
"20231216","상추","89000","100500","69000","-22.5","72000","-19.1","64250","-27.8"
"20231215","상추","82000","100500","68000","-17.1","71000","-13.4","67250","-18.0"
"20231214","상추","85000","100500","58000","-31.8","75000","-11.8","69200","-18.6"
"20231213","상추","88000","100500","65000","-26.1","77000","-12.5","74000","-15.9"
"20231212","상추","82000","100500","null","0.0","79000","-3.7","74400","-9.3"
"20231211","상추","86000","100500","81000","-5.8","null","0.0","70250","-18.3"
"20231209","상추","85000","100500","87000","2.4","70000","-17.6","69333","-18.4"
"20231208","상추","87000","100500","89000","2.3","71000","-18.4","74200","-14.7"
"20231207","상추","85000","100500","90000","5.9","70000","-17.6","73800","-13.2"
"20231206","상추","81000","100500","142000","75.3","63000","-22.2","72750","-10.2"
"20231205","상추","77000","100500","null","0.0","64000","-16.9","67750","-12.0"
"20231204","상추","80000","100500","null","0.0","null","0.0","70750","-11.6"
"20231201","상추","91000","100500","91000","0.0","74000","-18.7","67250","-26.1"
"20231130","상추","80000","100500","106000","32.5","80000","0.0","72800","-9.0"
"20231129","상추","85000","100500","null","0.0","71000","-16.5","71500","-15.9"
"20231128","상추","84000","100500","67000","-20.2","74000","-11.9","71750","-14.6"
"20231127","상추","88000","100500","91000","3.4","null","0.0","75000","-14.8"
"20231125","상추","84000","100500","79000","-6.0","90000","7.1","74500","-11.3"
"20231124","상추","82000","100500","80000","-2.4","87000","6.1","72500","-11.6"
"20231123","상추","73000","100500","98000","34.2","81000","11.0","71800","-1.6"
"20231122","상추","68000","100500","null","0.0","70000","2.9","74000","8.8"
"20231121","상추","66000","100500","97000","47.0","72000","9.1","72250","9.5"
"20231120","상추","75000","100500","82000","9.3","null","0.0","78750","5.0"
"20231118","상추","74000","100500","84000","13.5","80000","8.1","81500","10.1"
"20231117","상추","71000","100500","89000","25.4","83000","16.9","79000","11.3"
"20231116","상추","69000","100500","104000","50.7","84000","21.7","80000","15.9"
"20231115","상추","68000","100500","null","0.0","85000","25.0","79000","16.2"
"20231114","상추","58000","100500","94000","62.1","97000","67.2","84000","44.8"
"20231113","상추","65000","100500","88000","35.4","null","0.0","79000","21.5"
"20231111","상추","81000","100500","77000","-4.9","89000","9.9","79500","-1.9"
"20231110","상추","87000","100500","81000","-6.9","92000","5.7","86750","-0.3"
"20231109","상추","87000","100500","98000","12.6","85000","-2.3","87200","0.2"
"20231108","상추","89000","100500","null","0.0","81000","-9.0","87750","-1.4"
"20231107","상추","90000","100500","84000","-6.7","84000","-6.7","87000","-3.3"
"20231106","상추","142000","100500","80000","-43.7","null","0.0","84000","-40.8"
"20231103","상추","118000","100500","73000","-38.1","92000","-22.0","91000","-22.9"
"20231102","상추","93000","100500","72000","-22.6","99000","6.5","89400","-3.9"
"20231101","상추","91000","100500","null","0.0","97000","6.6","85750","-5.8"
"20231031","상추","93000","100500","null","0.0","109000","17.2","88000","-5.4"
"20231030","상추","106000","100500","null","0.0","null","0.0","84500","-20.3"
"20231028","상추","67000","100500","69000","3.0","89000","32.8","83250","24.3"
"20231027","상추","91000","100500","90000","-1.1","88000","-3.3","84750","-6.9"
"20231026","상추","82000","100500","78000","-4.9","95000","15.9","91200","11.2"
"20231025","상추","79000","100500","91000","15.2","87000","10.1","86750","9.8"
"20231024","상추","80000","100500","null","0.0","93000","16.3","86250","7.8"
"20231023","상추","98000","100500","74000","-24.5","null","0.0","85250","-13.0"
"20231021","상추","97000","100500","72000","-25.8","91000","-6.2","83000","-14.4"
"20231020","상추","82000","100500","73000","-11.0","85000","3.7","83500","1.8"
"20231019","상추","82000","100500","75000","-8.5","87000","6.1","81200","-1.0"
"20231018","상추","84000","100500","97000","15.5","90000","7.1","80500","-4.2"
"20231017","상추","89000","100500","null","0.0","110000","23.6","85250","-4.2"
"20231016","상추","104000","100500","91000","-12.5","null","0.0","80250","-22.8"
"20231014","상추","94000","100500","78000","-17.0","91000","-3.2","82750","-12.0"
"20231013","상추","88000","100500","76000","-13.6","91000","3.4","80250","-8.8"
"20231012","상추","80000","100500","71000","-11.3","94000","17.5","80200","0.3"
"20231011","상추","77000","100500","90000","16.9","82000","6.5","82500","7.1"
"20231010","상추","81000","100500","null","0.0","99000","22.2","89500","10.5"
"20231009","상추","98000","100500","79000","-19.4","null","0.0","91000","-7.1"
"20231007","상추","84000","100500","65000","-22.6","104000","23.8","85500","1.8"
"20231006","상추","80000","100500","64000","-20.0","102000","27.5","88500","10.6"
"20231005","상추","80000","100500","62000","-22.5","90000","12.5","74000","-7.5"
"20231004","상추","82000","100500","76000","-7.3","81000","-1.2","77750","-5.2"
"20231003","상추","73000","100500","null","0.0","114000","56.2","85667","17.4"
"20231002","상추","72000","100500","37000","-48.6","null","0.0","80000","11.1"
"20230928","상추","69000","100500","75000","8.7","90000","30.4","95000","37.7"
"20230927","상추","90000","100500","null","0.0","85000","-5.6","88000","-2.2"
"20230926","상추","78000","100500","66000","-15.4","91000","16.7","84667","8.5"
"20230925","상추","91000","100500","67000","-26.4","null","0.0","87667","-3.7"
"20230923","상추","74000","100500","60000","-18.9","87000","17.6","82667","11.7"
"20230922","상추","76000","100500","61000","-19.7","78000","2.6","68667","-9.6"
"20230921","상추","72000","100500","65000","-9.7","null","0.0","84667","17.6"
"20230920","상추","73000","100500","null","0.0","77000","5.5","70333","-3.7"
"20230919","상추","75000","100500","63000","-16.0","90000","20.0","77500","3.3"
"20230918","상추","97000","100500","59000","-39.2","null","0.0","77250","-20.4"
"20230916","상추","91000","100500","56000","-38.5","93000","2.2","74250","-18.4"
"20230915","상추","89000","100500","58000","-34.8","94000","5.6","74000","-16.9"
"20230914","상추","78000","100500","74000","-5.1","83000","6.4","69000","-11.5"
"20230913","상추","76000","100500","null","0.0","73000","-3.9","68333","-10.1"
"20230912","상추","71000","100500","59000","-16.9","null","0.0","63667","-10.3"
"20230911","상추","90000","100500","47000","-47.8","null","0.0","62250","-30.8"
"20230909","상추","79000","100500","57000","-27.8","64000","-19.0","66250","-16.1"
"20230908","상추","67000","100500","60000","-10.4","90000","34.3","63750","-4.9"
"20230907","상추","65000","100500","73000","12.3","72000","10.8","66200","1.8"
"20230906","상추","64000","100500","null","0.0","53000","-17.2","63500","-0.8"
"20230905","상추","62000","100500","null","0.0","88000","41.9","68250","10.1"
"20230904","상추","76000","100500","69000","-9.2","null","0.0","58000","-23.7"
"20230902","상추","37000","100500","56000","51.4","64000","73.0","64500","74.3"
"20230901","상추","67000","100500","52000","-22.4","58000","-13.4","54750","-18.3"
"20230831","상추","65000","100500","52000","-20.0","57000","-12.3","66800","2.8"
"20230830","상추","64000","100500","null","0.0","57000","-10.9","65750","2.7"
"20230829","상추","62000","100500","54000","-12.9","65000","4.8","71000","14.5"
"20230828","상추","75000","100500","48000","-36.0","null","0.0","65500","-12.7"
"20230826","상추","66000","100500","35000","-47.0","53000","-19.7","67750","2.7"
"20230825","상추","67000","100500","38000","-43.3","46000","-31.3","59000","-11.9"
"20230824","상추","59000","100500","45000","-23.7","50000","-15.3","66000","11.9"
"20230823","상추","60000","100500","null","0.0","52000","-13.3","66250","10.4"
"20230822","상추","61000","100500","35000","-42.6","59000","-3.3","62500","2.5"
"20230821","상추","65000","100500","34000","-47.7","null","0.0","64500","-0.8"
"20230819","상추","63000","100500","46000","-27.0","47000","-25.4","58250","-7.5"
"20230818","상추","59000","100500","43000","-27.1","42000","-28.8","50750","-14.0"
"20230817","상추","54000","100500","45000","-16.7","44000","-18.5","56000","3.7"
"20230816","상추","56000","100500","null","0.0","45000","-19.6","59500","6.3"
"20230815","상추","58000","100500","59000","1.7","59000","1.7","58500","0.9"
"20230814","상추","74000","100500","61000","-17.6","null","0.0","60250","-18.6"
"20230812","상추","59000","100500","68000","15.3","59000","0.0","60250","2.1"
"20230811","상추","47000","100500","69000","46.8","54000","14.9","59250","26.1"
"20230810","상추","57000","100500","79000","38.6","55000","-3.5","67800","18.9"
"20230809","상추","57000","100500","null","0.0","58000","1.8","68750","20.6"
"20230808","상추","60000","100500","70000","16.7","83000","38.3","71500","19.2"
"20230807","상추","73000","100500","59000","-19.2","null","0.0","70667","-3.2"
"20230804","상추","69000","100500","69000","0.0","69000","0.0","68000","-1.4"
"20230803","상추","64000","100500","76000","18.8","63000","-1.6","75750","18.4"
