년도,기준년월,"수출입구분:수입-I, 수출-E",AGCODE,HSCODE,국가코드,당월중량(kg),당월금액($),누계중량(kg),누계금액($)
2018,201801,I,116015102,2009790000,CN,199204.4,240250,199204.4,240250
2018,201801,I,116015102,2009790000,FR,36.0,196,36.0,196
2018,201801,I,116015102,2009790000,GB,140.17,1077,140.17,1077
2018,201801,I,116015102,2009790000,NZ,55590.0,114676,55590.0,114676
2018,201801,I,116015102,2009790000,TR,12100.0,24200,12100.0,24200
2018,201801,I,116015102,2009790000,US,5.49,72,5.49,72
2018,201801,I,116015102,2009790000,VN,1760.0,2947,1760.0,2947
2018,201801,I,116015102,2009790000,ZA,32496.0,37258,32496.0,37258
2018,201801,I,116015900,2008992000,BE,324.0,8585,324.0,8585
2018,201801,I,116015900,2008992000,CL,104.0,1560,104.0,1560
2018,201801,I,116015900,2008992000,CN,22340.0,20362,22340.0,20362
2018,201801,I,116015900,2008992000,ES,7182.0,24949,7182.0,24949
2018,201801,I,116015900,2008992000,FR,420.0,3089,420.0,3089
2018,201801,I,116015900,2008992000,GB,86.4,2289,86.4,2289
2018,201801,I,116015900,2008992000,US,10473.72,40155,10473.72,40155
2018,201801,I,116025900,2008400000,CN,62800.0,39864,62800.0,39864
2018,201801,I,116025900,2008400000,ES,3528.0,12256,3528.0,12256
2018,201801,I,116025900,2008400000,US,397.76,1483,397.76,1483
2018,201801,I,121210100,706901000,CN,24000.0,5740,24000.0,5740
2018,201801,I,121210400,712902020,CN,260050.2,291357,260050.2,291357
2018,201801,I,121410200,710801000,BE,5.0,42,5.0,42
2018,201801,I,121410200,710801000,CN,892900.0,471135,892900.0,471135
2018,201801,I,121410400,712200000,AU,0.4,6,0.4,6
2018,201801,I,121410400,712200000,CN,122200.1,116595,122200.1,116595
2018,201801,I,121410400,712200000,IN,24024.35,21629,24024.35,21629
2018,201801,I,121410400,712200000,US,21190.91,90209,21190.91,90209
2018,201801,I,121415301,2001909070,ES,1.3,8,1.3,8
2018,201801,I,121440200,710802000,CN,4854030.0,6698279,4854030.0,6698279
2018,201801,I,121440200,710802000,PE,110.0,920,110.0,920
2018,201801,I,121440200,710802000,VN,994.0,2957,994.0,2957
2018,201801,I,121440400,712901000,CA,0.51,22,0.51,22
2018,201801,I,121440400,712901000,CN,14565.0,34530,14565.0,34530
2018,201801,I,121440400,712901000,IN,0.35,7,0.35,7
2018,201801,I,121440400,712901000,JP,0.6,4,0.6,4
2018,201801,I,121440400,712901000,US,210.99,10574,210.99,10574
2018,201801,I,121440400,712901000,VN,27.2,181,27.2,181
2018,201801,I,121440500,703201000,CN,130010.0,173114,130010.0,173114
2018,201801,I,121440600,703209000,CN,576000.0,504309,576000.0,504309
2018,201801,I,121445300,2001909060,CN,229358.0,449849,229358.0,449849
2018,201801,I,121445300,2001909060,GB,0.1,7,0.1,7
2018,201801,I,121445300,2001909060,TH,1462.5,2154,1462.5,2154
2018,201801,I,121445300,2001909060,US,1.1,37,1.1,37
2018,201801,I,121610121,904210000,CN,338540.0,839085,338540.0,839085
2018,201801,I,121610121,904210000,KE,5037.8,46298,5037.8,46298
2018,201801,I,121610121,904210000,MW,500.0,5933,500.0,5933
2018,201801,I,121610121,904210000,MY,0.2,11,0.2,11
2018,201801,I,121610121,904210000,TH,0.5,0,0.5,0
2018,201801,I,121610121,904210000,UG,500.0,9722,500.0,9722
2018,201801,I,121610121,904210000,US,17.34,1058,17.34,1058
2018,201801,I,121610123,904220000,CA,0.8,6,0.8,6
2018,201801,I,121610123,904220000,CN,39040.0,123979,39040.0,123979
2018,201801,I,121610123,904220000,ES,90.0,570,90.0,570
2018,201801,I,121610123,904220000,IN,8000.0,20290,8000.0,20290
2018,201801,I,121610123,904220000,JP,300.0,2868,300.0,2868
2018,201801,I,121610123,904220000,NL,40.0,1325,40.0,1325
2018,201801,I,121610123,904220000,NP,0.05,1,0.05,1
2018,201801,I,121610123,904220000,US,746.15,14824,746.15,14824
2018,201801,I,121610200,710807000,CN,22670250.0,12254743,22670250.0,12254743
2018,201801,I,121610200,710807000,VN,392112.0,300392,392112.0,300392
2018,201802,E,112011001,710100000,RU,4262.0,14998,23204.0,66828
2018,201802,E,112011900,701900000,HK,4400.0,5378,15800.0,13620
2018,201802,E,112011900,701900000,RU,23486.0,61299,63050.0,164095
2018,201802,E,112012001,1105100000,AU,200.0,257,200.0,257
2018,201802,E,112012001,1105100000,CI,0.0,0,50.0,176
2018,201802,E,112012001,1105100000,GB,0.0,0,1315.0,878
2018,201802,E,112012001,1105100000,JP,3600.0,19706,4560.0,24811
2018,201802,E,112012001,1105100000,VN,36000.0,53082,72555.0,107161
2018,201802,E,112012002,1105200000,AU,1000.0,3352,15185.0,45847
2018,201802,E,112012002,1105200000,MO,225.0,1162,225.0,1162
2018,201802,E,112015901,2004100000,AU,0.0,0,389.0,325
2018,201802,E,112015901,2004100000,HK,0.0,0,20502.72,33564
2018,201802,E,112015901,2004100000,PH,333.81,446,333.81,446
2018,201802,E,112015901,2004100000,QA,6.0,17,6.0,17
2018,201802,E,112015901,2004100000,SG,0.0,0,6.1,16
2018,201802,E,112015903,2005201000,IQ,660.0,6441,660.0,6441
2018,201802,E,112015904,2005209000,BN,398.5,5496,398.5,5496
2018,201802,E,112015904,2005209000,CA,0.0,0,1185.6,12768
2018,201802,E,112015904,2005209000,CN,1897.0,17121,9678.8,92972
2018,201802,E,112015904,2005209000,HK,90.0,1206,456.0,5145
2018,201802,E,112015904,2005209000,JP,146.6,1018,1161.6,11428
2018,201802,E,112015904,2005209000,MN,0.0,0,65.76,752
2018,201802,E,112015904,2005209000,MY,0.0,0,27.0,355
2018,201802,E,112015904,2005209000,NZ,101.0,1417,101.0,1417
2018,201802,E,112015904,2005209000,PH,348.9,4213,495.9,6042
2018,201802,E,112015904,2005209000,SG,44.0,626,120.92,2083
2018,201802,E,112015904,2005209000,TW,0.0,0,200.2,1671
2018,201802,E,112015904,2005209000,US,0.0,0,1050.0,6922
2018,201802,E,112015904,2005209000,VN,0.0,0,1021.8,11764
2018,201802,E,116010101,808100000,AE,547.9,2053,647.9,2475
2018,201802,E,116010101,808100000,DE,0.0,0,5.0,26
2018,201802,E,116010101,808100000,GU,1380.0,11811,3746.5,28670
2018,201802,E,116010101,808100000,HK,41733.1,120961,89076.91,289038
2018,201802,E,116010101,808100000,KH,0.0,0,650.0,1715
2018,201802,E,116010101,808100000,KW,175.0,1050,175.0,1050
2018,201802,E,116010101,808100000,MN,3503.16,14194,18764.26,55799
2018,201802,E,116010101,808100000,MY,5160.0,11840,21430.0,71110
2018,201802,E,116010101,808100000,RU,6000.0,7200,16600.0,30681
2018,201802,E,116010101,808100000,SG,13754.0,40064,18094.0,53117
2018,201802,E,116010101,808100000,TH,500.0,2342,1110.0,8879
2018,201802,E,116010101,808100000,TW,47410.0,116848,351845.0,841235
2018,201802,E,116010101,808100000,US,36000.0,139019,36000.0,139019
2018,201802,E,116010101,808100000,VN,992.0,3809,80360.0,248866
2018,201802,E,116010102,813300000,CA,0.0,0,36.0,935
2018,201802,E,116010102,813300000,CN,0.0,0,80.0,8292
2018,201802,E,116010102,813300000,HK,0.0,0,103.74,4618
2018,201802,E,116010102,813300000,PW,12.0,44,12.0,44
2018,201802,E,116010102,813300000,TW,0.0,0,17.64,1783
2018,201802,E,116010102,813300000,VN,0.0,0,6.0,676
2018,201802,E,116015101,2009710000,BD,0.0,0,1080.0,841
2018,201802,E,116015102,2009790000,BD,0.0,0,2160.0,1702
2018,201802,E,116015102,2009790000,JP,159.0,1123,159.0,1123
2018,201802,E,116015900,2008992000,CN,0.0,0,1288.0,965
2018,201802,E,116015900,2008992000,HK,1800.0,5980,4200.0,13782
2018,201802,E,116015900,2008992000,MN,0.0,0,1.2,136
2018,201802,E,116015900,2008992000,MO,240.0,800,240.0,800
2018,201802,E,116015900,2008992000,MY,600.0,2625,600.0,2625
2018,201802,E,116015900,2008992000,TW,1530.0,5330,8370.0,23255
2018,201802,E,116015900,2008992000,US,0.0,0,1260.0,3300
2018,201802,E,116020121,808300000,AE,4940.0,13457,14240.0,38646
2018,201802,E,116020121,808300000,AU,5840.0,13487,18640.0,55507
2018,201802,E,116020121,808300000,BR,0.0,0,7579.6,16728
2018,201802,E,116020121,808300000,CA,0.0,0,54760.64,145495
2018,201802,E,116020121,808300000,DE,0.0,0,8.0,26
2018,201802,E,116020121,808300000,GU,530.0,1660,12090.0,28007
2018,201802,E,116020121,808300000,HK,59807.0,132777,136908.2,283947
2018,201802,E,116020121,808300000,ID,0.0,0,75770.0,185486
2018,201802,E,116020121,808300000,KW,175.0,875,175.0,875
2018,201802,E,116020121,808300000,MN,0.0,0,6007.18,14074
2018,201802,E,116020121,808300000,MP,0.0,0,2020.0,6536
2018,201802,E,116020121,808300000,MY,4885.0,9514,14115.0,35240
2018,201802,E,116020121,808300000,QA,0.0,0,450.0,1381
2018,201802,E,116020121,808300000,RU,13950.0,30817,22380.0,48000
2018,201802,E,116020121,808300000,SG,34622.5,79594,66412.5,148450
2018,201802,E,116020121,808300000,TH,6470.0,18627,33860.0,122523
2018,201802,E,116020121,808300000,TW,828150.0,1659845,2990953.5,6176783
2018,201802,E,116020121,808300000,US,537535.18,1451230,1597695.06,4345318
2018,201802,E,116020121,808300000,VN,532542.4,913666,2085040.2,3655693
2018,201802,E,116025900,2008400000,CN,600.0,1620,600.0,1620
2018,201802,E,116025900,2008400000,HK,606.7,1797,1686.7,5071
2018,201802,E,121010100,704902000,AE,0.0,0,415.0,1441
2018,201802,E,121010100,704902000,CA,83750.0,46623,235031.0,137246
2018,201802,E,121010100,704902000,GB,0.0,0,7128.0,4198
2018,201802,E,121010100,704902000,GU,6750.0,8675,18935.0,23249
2018,201802,E,121010100,704902000,HK,6220.0,3387,17080.0,8605
2018,201802,E,121010100,704902000,JP,1431525.0,1080945,1777170.0,1313257
2018,201802,E,121010100,704902000,KI,0.0,0,1281.0,3635
2018,201802,E,121010100,704902000,MP,8696.0,14963,28196.0,50222
2018,201802,E,121010100,704902000,MY,0.0,0,31500.0,16234
2018,201802,E,121010100,704902000,SG,210.0,1146,329.0,1809
2018,201802,E,121010100,704902000,TW,628800.0,392619,1839030.0,1036185
2018,201802,E,121010100,704902000,VN,0.0,0,6000.0,3530
2018,201802,E,121210100,706901000,CA,0.0,0,67720.0,26890
2018,201802,E,121210100,706901000,GB,0.0,0,8800.0,5568
2018,201802,E,121210100,706901000,GU,5100.0,5184,10500.0,10648
2018,201802,E,121210100,706901000,HK,4352.0,3116,9102.0,4544
2018,201802,E,121210100,706901000,JP,11300.0,9980,24820.0,16108
2018,201802,E,121210100,706901000,MP,2550.0,2607,6300.0,6175
2018,201802,E,121210100,706901000,MY,2520.0,3798,2520.0,3798
2018,201802,E,121210100,706901000,QA,600.0,2440,600.0,2440
2018,201802,E,121210100,706901000,RU,0.0,0,10140.0,12262
2018,201802,E,121210100,706901000,TH,0.0,0,3000.0,1755
2018,201802,E,121210100,706901000,US,157200.0,80218,1218400.0,524762
2018,201802,E,121210400,712902020,AE,0.0,0,800.0,1051
2018,201802,E,121210400,712902020,AU,9307.56,19628,9421.56,21236
2018,201802,E,121210400,712902020,CA,24.0,397,236.0,4645
2018,201802,E,121210400,712902020,GB,0.0,0,30.0,510
2018,201802,E,121210400,712902020,GU,5.0,49,5.0,49
2018,201802,E,121210400,712902020,IQ,0.0,0,30.0,293
2018,201802,E,121210400,712902020,JP,0.0,0,80.0,568
2018,201802,E,121210400,712902020,MM,0.0,0,800.0,120
2018,201802,E,121210400,712902020,NZ,21.0,394,169.0,1698
2018,201802,E,121210400,712902020,TH,2250.0,2301,2250.0,2301
2018,201802,E,121210400,712902020,US,1169.5,10785,1482.0,15931
2018,201802,E,121210400,712902020,VN,0.0,0,135.0,80
2018,201802,E,121440200,710802000,AU,220.0,1833,220.0,1833
2018,201802,E,121440200,710802000,CA,213.08,3807,213.08,3807
2018,201802,E,121440200,710802000,HK,30.0,2933,30.0,2933
2018,201802,E,121440200,710802000,JP,378.36,5199,608.64,8265
2018,201802,E,121440300,711901000,MP,10.0,210,16.0,336
2018,201802,E,121440400,712901000,AU,500.0,24953,512.0,25140
2018,201802,E,121440400,712901000,FR,0.0,0,7.0,12
2018,201802,E,121440400,712901000,HK,7.15,699,7.15,699
2018,201802,E,121440400,712901000,JP,0.0,0,84.0,1109
2018,201802,E,121440400,712901000,SA,0.0,0,5.0,10
2018,201802,E,121440500,703201000,DE,0.0,0,18.0,245
2018,201802,E,121440500,703201000,FR,192.0,2484,192.0,2484
2018,201802,E,121440500,703201000,HK,160.0,1562,782.0,6067
2018,201802,E,121440500,703201000,NL,72.0,980,102.0,1367
2018,201802,E,121440500,703201000,SG,49.0,522,126.0,1302
2018,201802,E,121440600,703209000,MN,9.8,59,9.8,59
2018,201802,E,121440600,703209000,RU,0.0,0,12868.0,31076
2018,201802,E,121440600,703209000,US,50.0,1327,50.0,1327
2018,201802,E,121445300,2001909060,AE,1000.0,5609,1000.0,5609
2018,201802,E,121445300,2001909060,MP,0.0,0,10.0,30
2018,201802,E,121445300,2001909060,NZ,217.6,1460,217.6,1460
2018,201802,E,121445300,2001909060,PH,163.2,1014,163.2,1014
2018,201802,E,121445300,2001909060,US,1905.6,9172,2438.72,12936
2018,201802,E,121610102,709609000,CA,20.0,214,120.0,739
2018,201802,E,121610102,709609000,CN,0.0,0,360.0,891
2018,201802,E,121610102,709609000,GB,98.0,759,212.0,1563
2018,201802,E,121610102,709609000,GU,6.0,100,14.0,182
2018,201802,E,121610102,709609000,HK,51.0,639,99.0,988
2018,201802,E,121610102,709609000,JP,23769.8,180934,47995.3,350229
2018,201802,E,121610102,709609000,MP,80.0,952,180.0,2114
2018,201802,E,121610102,709609000,SG,364.0,2946,726.0,5339
2018,201802,E,121610123,904220000,AE,30.0,447,80.0,3622
2018,201802,E,121610123,904220000,AO,80.0,5018,80.0,5018
2018,201802,E,121610123,904220000,AT,0.0,0,1900.0,9300
2018,201802,E,121610123,904220000,AU,4066.16,21665,22403.22,107372
2018,201802,E,121610123,904220000,BD,500.0,2350,500.0,2350
2018,201802,E,121610123,904220000,BR,0.0,0,250.0,1227
2018,201802,E,121610123,904220000,CA,9327.2,44800,32290.8,156469
2018,201802,E,121610123,904220000,CH,0.0,0,380.0,1840
2018,201802,E,121610123,904220000,CI,0.0,0,10.0,151
2018,201802,E,121610123,904220000,CL,50.0,227,50.0,227
2018,201802,E,121610123,904220000,CN,0.0,0,10.0,115
2018,201802,E,121610123,904220000,CZ,0.0,0,810.0,3759
2018,201802,E,121610123,904220000,DE,4953.4,25190,6103.4,31366
2018,201802,E,121610123,904220000,DK,1000.0,4540,1000.0,4540
